आजको खबर के छ?	What's the news today?
राजनीतिमा साँच्चै अन्याय भैरहेको छ।	There's so much injustice in politics.
खेलकुदमा नेपाल अब राम्रो प्रदर्शन गरिरहेको छ।	Nepal is performing well in sports now.
क्रिकेटमा हामी शक्तिशाली भएका छौँ।	We are strong in cricket.
यो सिनेमा कति राम्रो थियो।	This movie was so good.
मैले पनि घेर पनि यो सिनेमा हेर्न चाहन्छु।	I also want to watch this movie soon.
विद्यालय को परीक्षा कब हुन्छ?	When are the school exams?
अगलो महिना हुनेछ।	They'll be next month.
मेरो छोरा पढाइमा अच्छो छ।	My son is good in studies.
मेरो छोरी संगीतमा राम्रो छ।	My daughter is good at music.
मेरा भाइबहिनीहरू सब ठीकठाक छन्।	My siblings are all fine.
काम कस्तो चलिरहेको छ?	How's work going?
काम साँच्चै भरिएको छ।	Work is really hectic.
तपाइँको बसतिहरू?	And your residence?
हामी नयाँ घर खेती किनेका छौँ।	We just bought a new house.
कहाँ को घर?	Where?
काठमाडौँ को हलचलमा।	In Kathamndu's bustle.
यो छविवी राम्रो हो।	This picture is nice.
मेरा हाथमा कुछ गुलहरू छन्।	I have some flowers in my hands.
मैले कहिल्यै यो माछा खाएको छैन।	I've never eaten this fish.
यो माछा साँच्चै स्वादिलो हो।	This fish is really delicious.
तपाइँ खाना बनाउन पसन्द गर्नुहुन्छ?	Do you like cooking?
हाँ, मैले सबै विषयमा रान्धन पसन्द गरन्छु।	Yes, I like cooking everything.
मेरो पत्नी राम्रो खाना बनाउँछ।	My wife cooks well.
मेरो पति पनि खाना बनाउँछ।	My husband also cooks.
बल्ल वर्षा सुरु भयो।	Finally it started raining.
हिउँ को मौसम नजिकै छ।	Winter is coming soon.
यो गर्मी साँच्चै राम्रो भएको छैन।	This heat is unbearable.
पानी कुमाउन सक्नु हुन्छ?	Can you give me water?
हाँ, पहेले।	Yes, right away.
मेरो नाम किन साराह परिवर्तन गरेको?	Why did you change your name to Sarah?
पहिले मेरो नाम होना थियो।	My name was Hona before.
के तपाइँ विवाहित हुनुहुन्छ?	Are you married?
हाँ, दुई वर्ष देखि।	Yes, for two years.
तपाइँको पति कस्तो छन्?	What is your husband like?
उनी साँच्चै राम्रो व्यक्ति हुन्।	He's a really nice person.
बच्चा छ?	Do you have children?
हाँ, एक छोरा र एक छोरी।	Yes, one son and one daughter.
कति वर्षको?	How old?
छोरा पाँच वर्षको र छोरी तीन वर्षको।	Son is 5 and daughter is 3.
शिक्षा कहाँ भएको?	Where did you study?
त्रिभुवन विश्वविद्यालयबाट।	From Tribhuvan University.
कस्तो विषयमा?	What subject?
अंग्रेजी साहित्यमा।	English literature.
अब के गर्नुहुन्छ?	What do you do now?
शिक्षक हुँ।	I'm a teacher.
कहाँ पढाउनुहुन्छ?	Where do you teach?
निजी स्कूलमा।	In a private school.
वेतन कस्तो छ?	How's the salary?
राम्रो छैन, पर संतोषजनक छ।	Not great, but satisfactory.
भविष्यमा के गर्न चाहनुहुन्छ?	What do you want to do in future?
विश्वविद्यालयमा प्राध्यापक बन्न चाहन्छु।	I want to be a professor at university.
निश्चित हुनुहुन्छ?	Are you sure?
हाँ, पूरी तरह।	Yes, completely.
लक्ष्य भाग्यशाली।	Good luck with your goals.
धन्यवाद।	Thank you.
तपाइँ खेलकुद खेल्नुहुन्छ?	Do you play sports?
हाँ, क्रिकेट खेल्छु।	Yes, I play cricket.
कति राम्रो खेल्नुहुन्छ?	How well do you play?
म मध्यम स्तरको खेलाडी हुँ।	I'm an intermediate level player.
कहिले खेल्नुहुन्छ?	When do you play?
सप्ताहान्तमा।	On weekends.
कहाँ खेल्नुहुन्छ?	Where do you play?
