यो कस्तो फल हो?	What kind of fruit is this?
यो आप्पल हो।	This is an apple.
यो कस्तो सब्जी हो?	What vegetable is this?
यो आलु हो।	This is a potato.
यो कस्तो पशु हो?	What animal is this?
यो कुकुर हो।	This is a dog.
यो कस्तो पक्षी हो?	What bird is this?
यो परेवा हो।	This is a pigeon.
यो कस्तो फूल हो?	What flower is this?
यो गुलाब हो।	This is a rose.
यो कस्तो सवारी हो?	What vehicle is this?
यो बस हो।	This is a bus.
यो कस्तो कपडा हो?	What cloth is this?
यो र्यों हो।	This is cotton.
यो कस्तो धातु हो?	What metal is this?
यो पीतल हो।	This is brass.
यो कस्तो खेल हो?	What sport is this?
यो फुटबल हो।	This is football.
यो कस्तो खान्न कुरा हो?	What food is this?
यो मोमोज हो।	This is momos.
यो कस्तो रंग हो?	What color is this?
यो नीलो हो।	This is blue.
यो कस्तो आकृति हो?	What shape is this?
यो दायरा हो।	This is a circle.
यो कस्तो भाएँ हो?	What container is this?
यो कप हो।	This is a cup.
यो कस्तो फर्नीचर हो?	What furniture is this?
यो टेबल हो।	This is a table.
यो कस्तो व्यवहार हो?	What behavior is this?
यो आनन्द हो।	This is happiness.
यो कस्तो दिन हो?	What day is this?
यो सोमवार हो।	This is Monday.
यो कस्तो मौसम हो?	What season is this?
यो वर्षा हो।	This is monsoon.
