यो फोन कसरी प्रयोग गर्छु?	How do I use this phone?
पहिले पावर बटन दबाउ।	First press the power button.
अब के गर्नु?	What next?
स्क्रिन अनलक गर।	Unlock the screen.
यो अनलक कसरी गर्छु?	How do I unlock it?
पासकोड दिनु।	Enter the passcode.
मैले पासकोड भुल्याएँ।	I forgot the passcode.
फोन रिसेट गर।	Reset the phone.
यो खासगिरी कसरी लगाउँछु?	How do I wear this helmet?
पहिले अगाडिको भाग लगाउ।	Put the front part first.
अब पछाडिको क्लिप बन्द गर।	Now close the back clip.
के यो सही छ?	Is this correct?
हाँ, एकदम ठीक।	Yes, perfect.
यो कमेरा कसरी प्रयोग गर्छु?	How do I use this camera?
पहिले फोकस सेट गर।	First set the focus.
अब चित्र खिच।	Now take a photo.
यो कसरी पाठ गर्छु?	How do I send this?
यहाँ सेन्ड बटन दबाउ।	Press the send button here.
यो शर्ट कसरी धुनु?	How do I wash this shirt?
चिसो पानीमा धुनु।	Wash it in cold water.
के साबुन लगाऊ?	Should I use soap?
हाँ, सौम्य साबुन।	Yes, mild soap.
यो कति समय सूख्छ?	How long does it dry?
एक घण्टामा।	In one hour.
यो ल्यापटप कसरी सुरु गर्छु?	How do I start this laptop?
पावर बटन दबाउ।	Press the power button.
कुन बटन?	Which button?
बायाँ तिरको कोनामा।	In the left corner.
यो खोलिरहेको छ।	It's opening.
ठीक छ, अब प्रतीक्षा गर।	Good, wait now.
