कति चाहिन्छ? 	How much do you want it for?
यो कति हो? 	How much is this?
के मूल्य घटाउन सकिन्छ? 	Can you lower the price?
म रु ५०० मा किन्ने सोच्दैछु। 	I'm thinking of buying it for Rs. 500.
कृपया अलि सस्तो बनाउनुहोस्। 	Please make it a bit cheaper.
यो सामान रु २,००० छ भने ठीक होला। 	I'd be okay if this item were Rs. 2,000.
मसँग रु ५,००० मात्र छ। 	I only have Rs. 5,000.
के तपाइँ अन्तिम मूल्य रु ४,५०० बनाउन सक्नुहुन्छ? 	Can you make the final price Rs. 4,500?
यो रु १००,००० मा बेच्न तयार छु। 	I'll sell this for Rs. 100,000.
म १० लाख भित्र कार्यालय सेट अप गर्न चाहन्छु। 	I want to set up the office within Rs. 1,000,000 (10 lakh).
यो रु २५० मा छ भने लिन्छु। 	I'll take it if it's Rs. 250.
अहिलेको प्रस्ताव कस्तो छ? 	What's your current offer?
के अफर उपलब्ध छ? 	Is there any discount available?
के थोरै थप छुट मिल्छ? 	Can you give a little extra discount?
म रु १५,००० उपलब्ध गराउन सक्छु। 	I can pay Rs. 15,000.
यो मूल्य मेरो बजेटभन्दा माथि छ। 	This price is above my budget.
अगर तपाइँ रु ६०० मा दिनुहुन्छ भने म आजै लिन्छु। 	If you give it for Rs. 600, I'll take it today.
म कसरी थोरै घटाउन सक्छु? 	How can I reduce the price a bit?
के प्याकेजमा थप सेवा समावेश छ? 	Does the package include additional services?
म दुईवटा किन्ने हो भने थोरै छुट मिल्छ? 	If I buy two, will there be a small discount?
यो रु ५०,००० भन्दा बढी हुँदैन। 	It won't be more than Rs. 50,000.
म अन्तिम प्रस्ताव रु ७५,००० दिन्छु। 	My final offer is Rs. 75,000.
के तपाईँलाई रु ६०,००० मान्य छ? 	Is Rs. 60,000 acceptable to you?
मलाई साँच्चिकै रु १०,००,००० चाहिन्छ। 	I really need Rs. 1,000,000.
यो रु ३० मा पाउन सक्छु? 	Can I get this for Rs. 30?
